Periodo;Producto;Region; Ventas ; Costos 
Q3 2017;Consolas;USA - América/Estados Unidos; $25,180,911.05 ; $20,262,900.12 
Q1 2018;Consolas;USA - América/Estados Unidos; $22,932,615.65 ; $19,601,976.74 
Q3 2019;Consolas;USA - América/Estados Unidos; $22,530,289.75 ; $18,235,217.79 
Q2 2017;Consolas;CHN - Asia/China; $21,179,146.96 ; $19,711,047.00 
Q1 2019;Consolas;USA - América/Estados Unidos; $19,457,977.31 ; $15,227,982.24 
Q3 2019;Consolas;IND - Asia/India; $19,356,511.46 ; $18,112,541.21 
Q4 2018;Consolas;CHN - Asia/China; $18,963,147.60 ; $17,698,937.76 
Q4 2018;Consolas;USA - América/Estados Unidos; $18,611,978.20 ; $14,505,954.03 
Q3 2017;Consolas;CHN - Asia/China; $18,611,977.73 ; $16,668,668.29 
Q1 2017;Consolas;USA - América/Estados Unidos; $17,592,143.15 ; $13,527,803.18 
Q4 2019;Consolas;IND - Asia/India; $17,241,762.03 ; $14,438,929.32 
Q2 2018;Consolas;CHN - Asia/China; $16,476,177.26 ; $13,619,138.01 
Q3 2019;Consolas;DEU - Europa/Alemania; $15,501,566.32 ; $11,755,354.46 
Q2 2018;Consolas;USA - América/Estados Unidos; $15,472,608.23 ; $13,289,693.67 
Q3 2018;Consolas;CHN - Asia/China; $15,227,982.09 ; $13,857,463.70 
Q1 2018;Consolas;CHN - Asia/China; $14,780,100.11 ; $12,796,455.10 
Q2 2017;Consolas;USA - América/Estados Unidos; $14,761,223.64 ; $12,584,710.51 
Q2 2019;Consolas;IND - Asia/India; $14,626,074.50 ; $12,905,359.85 
Q4 2017;Consolas;CHN - Asia/China; $14,623,696.86 ; $12,917,598.89 
Q4 2019;Consolas;USA - América/Estados Unidos; $14,429,511.48 ; $11,380,713.10 
Q2 2019;Consolas;USA - América/Estados Unidos; $14,429,511.34 ; $10,926,695.18 
Q3 2018;Consolas;USA - América/Estados Unidos; $14,429,511.12 ; $11,292,660.87 
